[1,2](0) 1 556 71 49 10 2 
[1,3](0) 1 556 67 47 3 
[1,4](0) 1 556 71 72 86 110 168 105 94 42 103 4 
[1,5](0) 1 556 71 72 86 110 168 105 94 42 121 221 5 
[1,6](0) 1 556 71 72 97 55 9 6 
[1,7](0) 1 556 71 72 86 110 168 105 94 42 121 221 7 
[1,8](0) 1 556 71 8 
[1,9](0) 1 556 71 72 97 55 9 
[1,10](0) 1 556 71 49 10 
[1,11](0) 1 556 67 41 11 
[1,12](0) 1 556 71 72 86 110 168 105 94 42 121 221 12 
[1,13](0) 1 556 71 13 
[1,14](0) 1 556 67 14 
[1,15](0) 1 556 71 72 86 110 168 105 94 42 121 221 45 15 
[1,16](0) 1 556 71 152 16 
